CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-0.41389790329437603,0.29052529944775146,-1.2848398839684616,-0.2742649065010927,-0.14421743255530314,0.4136718893017581,-0.1186427031556197,0.14021360349292905,-0.9828428567665056,-0.6666082090210984,-1.4590003802772022,0.4410519326070325,-1.0821048708014391,24.0
-0.4114883659363003,-0.4798643093939974,-0.5877982171507811,-0.2742649065010927,-0.7402622069004932,0.19427445318162764,0.37115568855491343,0.5571598750882428,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,0.4410519326070325,-0.5001650121020872,21.6
-0.4114906618270655,-0.4798643093939974,-0.5877982171507811,-0.2742649065010927,-0.7402622069004932,1.282713681725651,-0.2652247035945384,0.5571598750882428,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,0.39642699409025545,-1.214999790456339,34.7
-0.4109075055727051,-0.4798643093939974,-1.3038767362134822,-0.2742649065010927,-0.8352838375932041,1.0163025092940647,-0.812225827183674,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.41616283913453045,-1.3674792245866982,33.4
-0.4066968419093312,-0.4798643093939974,-1.3038767362134822,-0.2742649065010927,-0.8352838375932041,1.2285766520336716,-0.5119114848210112,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.4410519326070325,,36.2
-0.41119678780912006,-0.4798643093939974,-1.3038767362134822,-0.2742649065010927,-0.8352838375932041,0.20709638126656957,-0.35102880141244197,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.410571016371986,-1.0499303113060423,28.7
-0.40448819499321026,0.055128474523883746,-0.470648357181423,,-0.26515405343693593,-0.3884109453452136,-0.06859031276184291,0.839243922020929,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.42679826674172333,-0.03992892192880185,22.9
-0.39802985427070703,0.055128474523883746,-0.470648357181423,-0.2742649065010927,-0.26515405343693593,-0.16046555716845437,0.9860850562498887,1.024637886132401,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.4410519326070325,0.9001277728932279,27.1
-0.39037420651415283,0.055128474523883746,-0.470648357181423,-0.2742649065010927,-0.26515405343693593,-0.9312059009411201,1.1255167152039824,1.0871964647915542,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.3284479722710865,2.4081353875035676,16.5
-0.3951037414904616,0.055128474523883746,-0.470648357181423,,-0.26515405343693593,-0.39980821475405154,0.6214176405237989,1.3296347255527103,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.32932512093972083,0.6133545252168651,18.9
